text,distortion_label,language
"We had a great quarter, but one client churned, the CEO is definitely going to shut down our department.","Mental Filter,Jumping to Conclusions",en
"I lost 10 pounds, but I gained 1 pound this week, everyone at the gym is definitely judging me for getting fatter.","Mental Filter,Jumping to Conclusions",en
"The party was packed, but my crush didn't show up, everybody must think I throw terrible parties.","Mental Filter,Jumping to Conclusions",en
"I got a promotion, but the pay raise was slightly less than I wanted, they clearly don't value me at all.","Mental Filter,Jumping to Conclusions",en
"I painted a beautiful landscape, but the cloud looks weird, art critics would definitely laugh at this.","Mental Filter,Jumping to Conclusions",en
"My dog is usually so well-behaved, but he barked at the mailman today, the neighbors definitely think he is dangerous.","Mental Filter,Jumping to Conclusions",en
"I cooked a massive feast, but the rolls were slightly burnt, my guests are going to go home and tell everyone I am a terrible host.","Mental Filter,Jumping to Conclusions",en
"I felt a random twinge in my leg, it is definitely a blood clot and I am going to die tonight. I feel absolutely terrified, so it must be true.","Magnification and Catastrophizing,Emotional Reasoning",en
"My code has a bug, the entire production database is going to be wiped. I feel so guilty, I must be a terrible engineer.","Magnification and Catastrophizing,Emotional Reasoning",en
"I lost my keys, I will never be able to get into my house again and will be homeless. I feel despair, so this is my new reality.","Magnification and Catastrophizing,Emotional Reasoning",en
"The teacher sighed while grading my test, I failed and I am going to get kicked out of school. I feel so ashamed, I know I failed.","Magnification and Catastrophizing,Emotional Reasoning",en
"I forgot to feed the cat this morning, he is going to starve to death before I get home. I feel awful, so I am a completely abusive pet owner.","Magnification and Catastrophizing,Emotional Reasoning",en
"I should have remembered her birthday, the fact she is crying is completely my fault and I am a horrible person.","Should Statements,Personalization",en
"I must always be the strongest person in the room, if my team fails it is because I didn't carry them enough.","Should Statements,Personalization",en
"I ought to be married by now, my parents' embarrassment is 100% because I am unlovable.","Should Statements,Personalization",en
"I should never show weakness, my friend's panic attack happened because I wasn't a solid enough rock for them.","Should Statements,Personalization",en
"I have to make everyone happy, the tension at dinner is entirely my fault for not making a better joke.","Should Statements,Personalization",en
"I didn't get an A on the test, I am a complete failure and I will never succeed at anything academically.","Black & White Thinking,Overgeneralization",en
"My boyfriend and I argued, our relationship is a total nightmare and we are always fighting about everything.","Black & White Thinking,Overgeneralization",en
"I missed a single shot in the game, I am entirely useless and I always drag the whole team down.","Black & White Thinking,Overgeneralization",en
"I burned the toast, I am a completely hopeless adult and I will always ruin every meal I make.","Black & White Thinking,Overgeneralization",en
"One person disagreed with my post, everyone on the internet hates me and I am always completely wrong.","Black & White Thinking,Overgeneralization",en
"The concert was amazing, but I hit one wrong note, the entire audience thinks I am a terrible musician.","Mental Filter,Jumping to Conclusions",en
"My boss gave me a glowing review, but said I could improve my punctuality, he is definitely planning to fire me.","Mental Filter,Jumping to Conclusions",en
"We had a great family dinner, but my dad frowned once, he definitely thinks my life choices are a mistake.","Mental Filter,Jumping to Conclusions",en
"I won the award, but the presenter mispronounced my name, they clearly think I am completely irrelevant.","Mental Filter,Jumping to Conclusions",en
"The house is perfectly clean, but there is one spot on the mirror, my guests are going to think I am a total slob.","Mental Filter,Jumping to Conclusions",en
