text,distortion_label,language,template_id
"I got some unexpected news about my meeting today, and my mind immediately jumped to losing everything over it.",Magnification and Catastrophizing,en,Magnification and Catastrophizing::22494
"There's a heaviness I can't shake tonight in the kitchen, and I keep assuming it means something bad is coming to my livelihood.",Emotional Reasoning,en,Emotional Reasoning::82233
"The train made a strange sound on the way to work, and now I can't stop imagining it breaking down somewhere dangerous.",Magnification and Catastrophizing,en,Magnification and Catastrophizing::55063
"I feel disconnected from my dad right now, which makes it hard to believe that anyone actually wants me around at school.",Emotional Reasoning,en,Emotional Reasoning::185
"The reunion had a lot of nice moments, but the one awkward part at the store is the only thing I can file it under now.",Black & White Thinking,en,Black & White Thinking::48217
"Something in me feels certain the election will go badly, even though I can't point to a single real reason why.",Emotional Reasoning,en,Emotional Reasoning::8945
"I expect to handle the meeting calmly every time, and getting nervous about it tonight feels like a personal failure.",Should Statements,en,Should Statements::19760
"My brother disagreed with me on one small thing about the dinner, and for the rest of the conversation I felt like we were on completely different sides.",Black & White Thinking,en,Black & White Thinking::69228
"I got through most of the project smoothly, but one part didn't go as planned, so by the end of an afternoon I felt like none of it counted.",Black & White Thinking,en,Black & White Thinking::6933
"There wasn't a clear right answer in the audition, which somehow made me feel like I'd already failed it completely.",Black & White Thinking,en,Black & White Thinking::10028
"My boss scheduled a meeting about the report, they're definitely going to fire me.",Jumping to Conclusions,en,Jumping to Conclusions::85067
"The router stopped working right when I needed it most for the pitch, just like the last three things I've relied on.",Overgeneralization,en,Overgeneralization::93974
"I feel exhausted just thinking about the cleanup, and that tiredness has turned into a belief that I simply can't do it.",Emotional Reasoning,en,Emotional Reasoning::77324
"My sister took longer than usual to reply to my message, and I've decided that means something is wrong between us regarding the gathering.",Jumping to Conclusions,en,Jumping to Conclusions::50181
"My brother didn't get the internship they wanted, and somehow I've attached myself to the reasons why.",Personalization,en,Personalization::27345
"My boss and I saw things differently about the outdoor event, but we were able to talk it through calmly.",No Distortion,en,No Distortion::22731
"The results for the audition haven't been posted yet, but I've already told myself how badly it's going to go.",Jumping to Conclusions,en,Jumping to Conclusions::71938
"My colleague didn't react the way I expected after everything I did for them at the wedding, and I keep stewing over how unfair that feels.",Should Statements,en,Should Statements::70302
"I'm a little tired after the report, so I'm going to take it easy in the kitchen tonight and pick things back up tomorrow.",No Distortion,en,No Distortion::89305
"There's a version of how the trip was 'supposed' to go, and tonight in the apartment I can't stop measuring reality against it.",Should Statements,en,Should Statements::52194
"My cousin pointed out one thing I could improve on the code, and I stopped seeing anything good in it after that.",Black & White Thinking,en,Black & White Thinking::24491
"A conversation between two coworkers went quiet when I walked into the house, and I've decided it must have been about something I did.",Personalization,en,Personalization::7371
"My cousin didn't react the way I expected after everything I did for them at the reunion, and I keep stewing over how unfair that feels.",Should Statements,en,Should Statements::70302
This is the second test in a row that didn't go anywhere. I'm starting to wonder if this is just how it's going to keep going for my livelihood.,Overgeneralization,en,Overgeneralization::92430
The colleague seemed distracted during our call about the meeting. I've been assuming it's about something I said last an afternoon.,Jumping to Conclusions,en,Jumping to Conclusions::48973
"There wasn't a clear right answer in the performance review, which somehow made me feel like I'd already failed it completely.",Black & White Thinking,en,Black & White Thinking::10028
The boss closed the door to their office right as I walked past. I've already decided what that means for my position.,Jumping to Conclusions,en,Jumping to Conclusions::70489
"My team lost the game, it's entirely my fault for missing that one play during an afternoon.",Personalization,en,Personalization::63226
"The bike made a strange sound on the way to the gym, and now I can't stop imagining it breaking down somewhere dangerous.",Magnification and Catastrophizing,en,Magnification and Catastrophizing::55063
The office creaked a little louder than usual tonight and I found myself Googling structural failures at 1am.,Magnification and Catastrophizing,en,Magnification and Catastrophizing::81089
"I got through most of the presentation smoothly, but one part didn't go as planned, so by the end of an afternoon I felt like none of it counted.",Black & White Thinking,en,Black & White Thinking::6933
"Nothing about today's reunion went the way I planned, and lately it feels like that's just become the norm.",Overgeneralization,en,Overgeneralization::69207
"I feel exhausted just thinking about the presentation, and that tiredness has turned into a belief that I simply can't do it.",Emotional Reasoning,en,Emotional Reasoning::77324
"I disagreed with my dad, but we talked it out over an afternoon and came to an understanding.",No Distortion,en,No Distortion::48873
"My colleague pointed out one thing I could improve on the song, and I stopped seeing anything good in it after that.",Black & White Thinking,en,Black & White Thinking::24491
"I disagreed with my colleague, but we talked it out over an afternoon and came to an understanding.",No Distortion,en,No Distortion::48873
"My colleague and I saw things differently about the gathering, but we were able to talk it through calmly.",No Distortion,en,No Distortion::22731
"My dad didn't get the opportunity they wanted, and somehow I've attached myself to the reasons why.",Personalization,en,Personalization::27345
"I keep holding myself to a version of this role where I never make a single typo, and falling short of that eats at me.",Should Statements,en,Should Statements::19440
"I spent the a few hours resting instead of working on the assignment, and I can't shake the feeling that I wasted the time.",Should Statements,en,Should Statements::10654
"Everyone complimented my song, but my boss was quiet, so they must secretly hate it.",Mental Filter,en,Mental Filter::20525
Another dinner ended the same way the last one did. I'm starting to see a theme in how these things go for me and my colleague.,Overgeneralization,en,Overgeneralization::45962
"I got mostly positive feedback on the meal, but the single hesitant comment from my friend is the only one I can actually recall.",Mental Filter,en,Mental Filter::16282
"I feel guilty about outdoor event, so I must have done something truly terrible.",Emotional Reasoning,en,Emotional Reasoning::3964
"My brother handled the dinner differently than I would have, and it's been bothering me all an afternoon that they didn't do it 'right.'",Should Statements,en,Should Statements::57704
"If this proposal fails, it will be an absolute catastrophe and my standing at work is finished.",Magnification and Catastrophizing,en,Magnification and Catastrophizing::40874
"I felt nervous before the test, so I gave myself some time to prepare and it went reasonably well.",No Distortion,en,No Distortion::29632
Another dinner ended the same way the last one did. I'm starting to see a theme in how these things go for me and my partner.,Overgeneralization,en,Overgeneralization::45962
"My colleague ought to always be polite, and it infuriates me when they aren't.",Should Statements,en,Should Statements::98684
"The day had plenty of wins at work, but there's one small thing about the recipe that went wrong that I can't seem to let go of.",Mental Filter,en,Mental Filter::94752
"My gut has been uneasy about the pitch all a day, and I've stopped questioning whether that unease is accurate.",Emotional Reasoning,en,Emotional Reasoning::98586
"The phone stopped working right when I needed it most for the budget review, just like the last three things I've relied on.",Overgeneralization,en,Overgeneralization::93974
"My manager asked to 'chat' about the pitch tomorrow, and I've spent the evening assuming it means the worst possible outcome.",Magnification and Catastrophizing,en,Magnification and Catastrophizing::5509
"There's a heaviness I can't shake tonight in the office, and I keep assuming it means something bad is coming to my standing at work.",Emotional Reasoning,en,Emotional Reasoning::82233
"I spent the a few hours resting instead of working on the presentation, and I can't shake the feeling that I wasted the time.",Should Statements,en,Should Statements::10654
"There's a version of how the wedding was 'supposed' to go, and tonight in the kitchen I can't stop measuring reality against it.",Should Statements,en,Should Statements::52194
"My boss yelled at me, people are always so reject towards me.",Overgeneralization,en,Overgeneralization::12447
"I wasn't invited to the gathering this time, and I've built an entire story in my head about why, without asking my brother.",Jumping to Conclusions,en,Jumping to Conclusions::46779
"People seemed to enjoy the essay, but I keep circling back to the single comment that wasn't glowing.",Mental Filter,en,Mental Filter::45848
My knee has felt a bit warm since this morning. I keep picturing the worst-case scenario in the garage.,Magnification and Catastrophizing,en,Magnification and Catastrophizing::34768
"There's a version of how the dinner was 'supposed' to go, and tonight in the apartment I can't stop measuring reality against it.",Should Statements,en,Should Statements::52194
"The outdoor event didn't go as smoothly as hoped, and I keep replaying my part in it, wondering what I could have done differently.",Personalization,en,Personalization::45663
"My mom and I saw things differently about the trip, but we were able to talk it through calmly.",No Distortion,en,No Distortion::22731
"Things felt tense at the concert today, and I've quietly taken on responsibility for the whole atmosphere.",Personalization,en,Personalization::30537
"My sister and I saw things differently about the wedding, but we were able to talk it through calmly.",No Distortion,en,No Distortion::22731
There's a leak in the garage that I noticed this evening. I lay awake running through everything that could go wrong because of it.,Magnification and Catastrophizing,en,Magnification and Catastrophizing::70234
"My team lost the tournament, it's entirely my fault for missing that one play during an afternoon.",Personalization,en,Personalization::63226
I skipped one workout this a week and I've been telling myself the whole a day is a write-off.,Black & White Thinking,en,Black & White Thinking::73395
"I hold a pretty rigid picture of how a good position looks, and today didn't come close to matching it.",Should Statements,en,Should Statements::95584
"I feel disconnected from my dad right now, which makes it hard to believe that anyone actually wants me around at the gym.",Emotional Reasoning,en,Emotional Reasoning::185
"I tripped in front of a group of people at the kitchen today, and it's the third clumsy thing that's happened to me this an afternoon alone.",Overgeneralization,en,Overgeneralization::30510
"I wasn't invited to the reunion this time, and I've built an entire story in my head about why, without asking my mom.",Jumping to Conclusions,en,Jumping to Conclusions::46779
"I'm a little tired after the presentation, so I'm going to take it easy in the building tonight and pick things back up tomorrow.",No Distortion,en,No Distortion::89305
"I feel guilty about dinner, so I must have done something truly terrible.",Emotional Reasoning,en,Emotional Reasoning::3964
Another gathering ended the same way the last one did. I'm starting to see a theme in how these things go for me and my boss.,Overgeneralization,en,Overgeneralization::45962
My partner was quieter than usual at dinner. I've been replaying the last a week trying to figure out what I did wrong at garage.,Jumping to Conclusions,en,Jumping to Conclusions::98322
There's a flicker in the office that I noticed this evening. I lay awake running through everything that could go wrong because of it.,Magnification and Catastrophizing,en,Magnification and Catastrophizing::70234
The cousin closed the door to their office right as I walked past. I've already decided what that means for my promotion.,Jumping to Conclusions,en,Jumping to Conclusions::70489
"My brother and I saw things differently about the concert, but we were able to talk it through calmly.",No Distortion,en,No Distortion::22731
The doctor mentioned my neck looked slightly tingly on the scan. I spent the whole drive home assuming the worst.,Magnification and Catastrophizing,en,Magnification and Catastrophizing::80783
"If my boss doesn't support me completely, then it means they must dislike me entirely.",Black & White Thinking,en,Black & White Thinking::30690
"I got through most of the project smoothly, but one part didn't go as planned, so by the end of a day I felt like none of it counted.",Black & White Thinking,en,Black & White Thinking::6933
"Almost everything about the trip to the gym went smoothly, except for one hiccup that's somehow become the whole story I tell about it.",Mental Filter,en,Mental Filter::22174
"My cousin didn't react the way I expected after everything I did for them at the concert, and I keep stewing over how unfair that feels.",Should Statements,en,Should Statements::70302
"My boss didn't get the internship they wanted, and somehow I've attached myself to the reasons why.",Personalization,en,Personalization::27345
"My wrist felt stiff for a second, this is going to be a total catastrophe.",Magnification and Catastrophizing,en,Magnification and Catastrophizing::73941
"I keep holding myself to a version of this opportunity where I never make a single slip-up, and falling short of that eats at me.",Should Statements,en,Should Statements::19440
"I lost the election again, and it's hard not to feel like winning just isn't something that happens for me.",Overgeneralization,en,Overgeneralization::32132
"The mood at the dinner felt a little flat, and I've spent the ride home from the gym wondering if it was something about how I showed up.",Personalization,en,Personalization::41215
"The cat hasn't been eating well at office, and I've been wondering what I might have changed that caused it.",Personalization,en,Personalization::10998
"Halfway through the game I made a small error, and after that I mentally checked out like the outcome was already decided.",Black & White Thinking,en,Black & White Thinking::83029
"I keep thinking I need to have this all figured out by now, and not having answers about my reputation yet feels like falling behind some invisible schedule.",Should Statements,en,Should Statements::24806
"My mom handled the wedding differently than I would have, and it's been bothering me all a week that they didn't do it 'right.'",Should Statements,en,Should Statements::57704
"There wasn't a clear right answer in the test, which somehow made me feel like I'd already failed it completely.",Black & White Thinking,en,Black & White Thinking::10028
"My partner has been quiet lately in the kitchen, it must be something I did.",Personalization,en,Personalization::36661
"Today at school was a mix of good and less-good moments, and that feels pretty normal to me.",No Distortion,en,No Distortion::8927
"The cat hasn't been eating well at house, and I've been wondering what I might have changed that caused it.",Personalization,en,Personalization::10998
"I got mostly positive feedback on the essay, but the single hesitant comment from my partner is the only one I can actually recall.",Mental Filter,en,Mental Filter::16282
"I hold myself to never showing I'm struggling with the recipe, and today at the airport I couldn't keep that up.",Should Statements,en,Should Statements::11398
"The election results were solid, but I keep zeroing in on the single category where I placed lower.",Mental Filter,en,Mental Filter::3899
"If my boss doesn't love me completely, then it means they must avoid me entirely.",Black & White Thinking,en,Black & White Thinking::30690
There's a creak in the apartment that I noticed this evening. I lay awake running through everything that could go wrong because of it.,Magnification and Catastrophizing,en,Magnification and Catastrophizing::70234
"The bike made a strange sound on the way to the clinic, and now I can't stop imagining it breaking down somewhere dangerous.",Magnification and Catastrophizing,en,Magnification and Catastrophizing::55063
"The bike made a strange sound on the way to the airport, and now I can't stop imagining it breaking down somewhere dangerous.",Magnification and Catastrophizing,en,Magnification and Catastrophizing::55063
"The proposal feedback was mostly encouraging, yet somehow it's the one line of critique that's occupying my whole evening at kitchen.",Mental Filter,en,Mental Filter::49421
"I wasn't invited to the gathering this time, and I've built an entire story in my head about why, without asking my roommate.",Jumping to Conclusions,en,Jumping to Conclusions::46779
"I missed the deadline for this chore, and looking back, deadlines have been a recurring struggle for me this whole a week.",Overgeneralization,en,Overgeneralization::66655
"A single line in the meeting feedback stood out to me, and by tonight I'd convinced myself the entire thing would fall apart.",Magnification and Catastrophizing,en,Magnification and Catastrophizing::13613
"The anxiety before the presentation feels like a warning, so I've been treating it as one.",Emotional Reasoning,en,Emotional Reasoning::84470
"I should be over this party by now, there's something wrong with me for still feeling this way after a day.",Should Statements,en,Should Statements::63563
"The phone stopped working right when I needed it most for the presentation, just like the last three things I've relied on.",Overgeneralization,en,Overgeneralization::93974
I know I'm going to bomb this audition no matter how much I practice.,Jumping to Conclusions,en,Jumping to Conclusions::84865
"I didn't finish every item on my yard work list, so tonight feels like a wasted a week even though I got most of it done.",Black & White Thinking,en,Black & White Thinking::76793
My arm has felt a bit warm since this morning. I keep picturing the worst-case scenario in the building.,Magnification and Catastrophizing,en,Magnification and Catastrophizing::34768
"My roommate has seemed a bit off this a day, and I've quietly started assuming I'm the reason.",Personalization,en,Personalization::92773
"I didn't finish every item on my cooking list, so tonight feels like a wasted a day even though I got most of it done.",Black & White Thinking,en,Black & White Thinking::76793
"I disagreed with my roommate, but we talked it out over a few hours and came to an understanding.",No Distortion,en,No Distortion::48873
"The deal feedback was mostly encouraging, yet somehow it's the one line of critique that's occupying my whole evening at kitchen.",Mental Filter,en,Mental Filter::49421
The roommate closed the door to their office right as I walked past. I've already decided what that means for my opportunity.,Jumping to Conclusions,en,Jumping to Conclusions::70489
"The project feedback was mostly encouraging, yet somehow it's the one line of critique that's occupying my whole evening at office.",Mental Filter,en,Mental Filter::49421
"I disagreed with my colleague, but we talked it out over a few hours and came to an understanding.",No Distortion,en,No Distortion::48873
"The reunion didn't go as smoothly as hoped, and I keep replaying my part in it, wondering what I could have done differently.",Personalization,en,Personalization::45663
"My dad has seemed a bit off this a week, and I've quietly started assuming I'm the reason.",Personalization,en,Personalization::92773
"My partner and I saw things differently about the concert, but we were able to talk it through calmly.",No Distortion,en,No Distortion::22731
"The dinner had a lot of nice moments, but the one awkward part at the store is the only thing I can file it under now.",Black & White Thinking,en,Black & White Thinking::48217
"The day had plenty of wins at the clinic, but there's one small thing about the report that went wrong that I can't seem to let go of.",Mental Filter,en,Mental Filter::94752
"My roommate didn't get the job they wanted, and somehow I've attached myself to the reasons why.",Personalization,en,Personalization::27345
"The dog hasn't been eating well at building, and I've been wondering what I might have changed that caused it.",Personalization,en,Personalization::10998
"Halfway through the race I made a small error, and after that I mentally checked out like the outcome was already decided.",Black & White Thinking,en,Black & White Thinking::83029
"I feel disconnected from my brother right now, which makes it hard to believe that anyone actually wants me around at the store.",Emotional Reasoning,en,Emotional Reasoning::185
"I expect to handle the presentation calmly every time, and getting nervous about it tonight feels like a personal failure.",Should Statements,en,Should Statements::19760
"I feel disconnected from my roommate right now, which makes it hard to believe that anyone actually wants me around at work.",Emotional Reasoning,en,Emotional Reasoning::185
"I tripped in front of a group of people at the garage today, and it's the third clumsy thing that's happened to me this a day alone.",Overgeneralization,en,Overgeneralization::30510
"I keep holding myself to a version of this job where I never make a single slip-up, and falling short of that eats at me.",Should Statements,en,Should Statements::19440
"I feel guilty about party, so I must have done something truly terrible.",Emotional Reasoning,en,Emotional Reasoning::3964
"My partner said a lot of kind things today, but there's one offhand remark that's the only part I can remember clearly.",Mental Filter,en,Mental Filter::14089
"I disagreed with my partner, but we talked it out over a few hours and came to an understanding.",No Distortion,en,No Distortion::48873
"The bird hasn't been eating well at apartment, and I've been wondering what I might have changed that caused it.",Personalization,en,Personalization::10998
"Halfway through the election I made a small error, and after that I mentally checked out like the outcome was already decided.",Black & White Thinking,en,Black & White Thinking::83029
"My sister didn't get the role they wanted, and somehow I've attached myself to the reasons why.",Personalization,en,Personalization::27345
The partner closed the door to their office right as I walked past. I've already decided what that means for my job.,Jumping to Conclusions,en,Jumping to Conclusions::70489
"I spent the a day resting instead of working on the assignment, and I can't shake the feeling that I wasted the time.",Should Statements,en,Should Statements::10654
"I tripped in front of a group of people at the house today, and it's the third clumsy thing that's happened to me this a few hours alone.",Overgeneralization,en,Overgeneralization::30510
"I'm a little tired after the assignment, so I'm going to take it easy in the basement tonight and pick things back up tomorrow.",No Distortion,en,No Distortion::89305
One stain in the house and I'm sure the whole thing is going to collapse.,Magnification and Catastrophizing,en,Magnification and Catastrophizing::33238
"I don't feel ready for the wedding, and that feeling alone has convinced me I'm not actually ready.",Emotional Reasoning,en,Emotional Reasoning::24795
"I feel so hopeless about the deal, so things will never get better.",Emotional Reasoning,en,Emotional Reasoning::12965
"The gathering had a lot of nice moments, but the one awkward part at the clinic is the only thing I can file it under now.",Black & White Thinking,en,Black & White Thinking::48217
"Halfway through the audition I made a small error, and after that I mentally checked out like the outcome was already decided.",Black & White Thinking,en,Black & White Thinking::83029
"The meeting feedback was mostly encouraging, yet somehow it's the one line of critique that's occupying my whole evening at house.",Mental Filter,en,Mental Filter::49421
"My dad didn't get the job they wanted, and somehow I've attached myself to the reasons why.",Personalization,en,Personalization::27345
I must always be productive with my project or I'm wasting my life.,Should Statements,en,Should Statements::56339
"The contest didn't go my way this time, but I can see a few things I'll try differently next time.",No Distortion,en,No Distortion::84276
"My mom didn't get the role they wanted, and somehow I've attached myself to the reasons why.",Personalization,en,Personalization::27345
"My boss and their friend had a falling out recently, and I keep wondering if introducing them was the root of it.",Personalization,en,Personalization::99272
"The gathering went well overall, but there's a small moment from it with my sister that I keep replaying instead of anything else.",Mental Filter,en,Mental Filter::24053
"My cousin pointed out one thing I could improve on the design, and I stopped seeing anything good in it after that.",Black & White Thinking,en,Black & White Thinking::24491
"My team lost the match, it's entirely my fault for missing that one play during an afternoon.",Personalization,en,Personalization::63226
"There's a version of how the gathering was 'supposed' to go, and tonight in the apartment I can't stop measuring reality against it.",Should Statements,en,Should Statements::52194
"Either I am the best at painting, or there is no point trying at all.",Black & White Thinking,en,Black & White Thinking::92415
"I got rejected from this role after preparing for a few hours, I will never get hired anywhere.",Overgeneralization,en,Overgeneralization::57729
"The assignment isn't perfect, but I think it's in a solid place given the time we had.",No Distortion,en,No Distortion::96580
"The laptop stopped working right when I needed it most for the project, just like the last three things I've relied on.",Overgeneralization,en,Overgeneralization::93974
"If this pitch fails, it will be an absolute nightmare and my career is finished.",Magnification and Catastrophizing,en,Magnification and Catastrophizing::40874
"I got rejected from this opportunity after preparing for a day, I will never get hired anywhere.",Overgeneralization,en,Overgeneralization::57729
"I feel disconnected from my friend right now, which makes it hard to believe that anyone actually wants me around at work.",Emotional Reasoning,en,Emotional Reasoning::185
The doctor mentioned my chest looked slightly dizzy on the scan. I spent the whole drive home assuming the worst.,Magnification and Catastrophizing,en,Magnification and Catastrophizing::80783
Another concert ended the same way the last one did. I'm starting to see a theme in how these things go for me and my cousin.,Overgeneralization,en,Overgeneralization::45962
"A single line in the project feedback stood out to me, and by tonight I'd convinced myself the entire thing would fall apart.",Magnification and Catastrophizing,en,Magnification and Catastrophizing::13613
"My manager asked to 'chat' about the meeting tomorrow, and I've spent the evening assuming it means the worst possible outcome.",Magnification and Catastrophizing,en,Magnification and Catastrophizing::5509
"My boss has seemed a bit off this a day, and I've quietly started assuming I'm the reason.",Personalization,en,Personalization::92773
"I lost the race again, and it's hard not to feel like winning just isn't something that happens for me.",Overgeneralization,en,Overgeneralization::32132
"The proposal came in under expectations, and even though several people worked on it, I keep centering the blame on my own part.",Personalization,en,Personalization::5241
"The mood at the party felt a little flat, and I've spent the ride home from school wondering if it was something about how I showed up.",Personalization,en,Personalization::41215
"I felt nervous before the audition, so I gave myself some time to prepare and it went reasonably well.",No Distortion,en,No Distortion::29632
"My friend handled the gathering differently than I would have, and it's been bothering me all an afternoon that they didn't do it 'right.'",Should Statements,en,Should Statements::57704
"I made one mistake in the assignment, so the whole thing was a complete embarrassment.",Black & White Thinking,en,Black & White Thinking::4471
I sent the code update and haven't heard anything back yet. Part of me has already written the ending to this.,Jumping to Conclusions,en,Jumping to Conclusions::65531
"Everyone complimented my photo, but my brother was quiet, so they must secretly hate it.",Mental Filter,en,Mental Filter::20525
"I hold myself to never showing I'm struggling with the report, and today at the clinic I couldn't keep that up.",Should Statements,en,Should Statements::11398
"I didn't finish every item on my cleaning list, so tonight feels like a wasted a day even though I got most of it done.",Black & White Thinking,en,Black & White Thinking::76793
One scratch in the building and I'm sure the whole thing is going to collapse.,Magnification and Catastrophizing,en,Magnification and Catastrophizing::33238
My chest has felt a bit numb since this morning. I keep picturing the worst-case scenario in the apartment.,Magnification and Catastrophizing,en,Magnification and Catastrophizing::34768
Another trip ended the same way the last one did. I'm starting to see a theme in how these things go for me and my friend.,Overgeneralization,en,Overgeneralization::45962
"The presentation isn't perfect, but I think it's in a solid place given the time we had.",No Distortion,en,No Distortion::96580
"My boss snapped at me today, and it's made me think back to every other time someone's been short with me lately at the airport.",Overgeneralization,en,Overgeneralization::96418
"I got rejected from this promotion after preparing for an afternoon, I will never get hired anywhere.",Overgeneralization,en,Overgeneralization::57729
"My mom yelled at me, people are always so reject towards me.",Overgeneralization,en,Overgeneralization::12447
"I felt nervous before the exam, so I gave myself some time to prepare and it went reasonably well.",No Distortion,en,No Distortion::29632
"I spent the a week resting instead of working on the chore, and I can't shake the feeling that I wasted the time.",Should Statements,en,Should Statements::10654
"My sister took longer than usual to reply to my message, and I've decided that means something is wrong between us regarding the dinner.",Jumping to Conclusions,en,Jumping to Conclusions::50181
Another gathering ended the same way the last one did. I'm starting to see a theme in how these things go for me and my colleague.,Overgeneralization,en,Overgeneralization::45962
"My cousin and I saw things differently about the trip, but we were able to talk it through calmly.",No Distortion,en,No Distortion::22731
"The bird hasn't been eating well at kitchen, and I've been wondering what I might have changed that caused it.",Personalization,en,Personalization::10998
"My brother didn't react the way I expected after everything I did for them at the trip, and I keep stewing over how unfair that feels.",Should Statements,en,Should Statements::70302
"My sister and I saw things differently about the party, but we were able to talk it through calmly.",No Distortion,en,No Distortion::22731
"The project feedback was mostly encouraging, yet somehow it's the one line of critique that's occupying my whole evening at kitchen.",Mental Filter,en,Mental Filter::49421
"Something about today's reunion just feels off, and I've been treating that feeling like solid proof that something is actually wrong.",Emotional Reasoning,en,Emotional Reasoning::58616
"I tripped in front of a group of people at the house today, and it's the third clumsy thing that's happened to me this an afternoon alone.",Overgeneralization,en,Overgeneralization::30510
I skipped one workout this a day and I've been telling myself the whole a day is a write-off.,Black & White Thinking,en,Black & White Thinking::73395
There's a draft in the apartment that I noticed this evening. I lay awake running through everything that could go wrong because of it.,Magnification and Catastrophizing,en,Magnification and Catastrophizing::70234
The doctor mentioned my leg looked slightly stiff on the scan. I spent the whole drive home assuming the worst.,Magnification and Catastrophizing,en,Magnification and Catastrophizing::80783
"The pitch came in under expectations, and even though several people worked on it, I keep centering the blame on my own part.",Personalization,en,Personalization::5241
The brother seemed distracted during our call about the deal. I've been assuming it's about something I said last a week.,Jumping to Conclusions,en,Jumping to Conclusions::48973
"Almost everything about the trip to work went smoothly, except for one hiccup that's somehow become the whole story I tell about it.",Mental Filter,en,Mental Filter::22174
The doctor mentioned my chest looked slightly numb on the scan. I spent the whole drive home assuming the worst.,Magnification and Catastrophizing,en,Magnification and Catastrophizing::80783
"The reunion was full of good moments, but my mind keeps returning to the one that didn't land.",Mental Filter,en,Mental Filter::6360
"My stomach felt tingly for a second, this is going to be a total catastrophe.",Magnification and Catastrophizing,en,Magnification and Catastrophizing::73941
"I made one mistake in the recipe, so the whole thing was a complete waste.",Black & White Thinking,en,Black & White Thinking::4471
"The interviewer's expression changed partway through my meeting, and I left the gym convinced I already know the outcome.",Jumping to Conclusions,en,Jumping to Conclusions::64888
"I missed the deadline for this assignment, and looking back, deadlines have been a recurring struggle for me this whole a few hours.",Overgeneralization,en,Overgeneralization::66655
"I feel disconnected from my mom right now, which makes it hard to believe that anyone actually wants me around at school.",Emotional Reasoning,en,Emotional Reasoning::185
"The day had plenty of wins at school, but there's one small thing about the cleanup that went wrong that I can't seem to let go of.",Mental Filter,en,Mental Filter::94752
This is the second exam in a row that didn't go anywhere. I'm starting to wonder if this is just how it's going to keep going for my livelihood.,Overgeneralization,en,Overgeneralization::92430
"I got some unexpected news about my deal today, and my mind immediately jumped to losing everything over it.",Magnification and Catastrophizing,en,Magnification and Catastrophizing::22494
