text,distortion_label,language
Why do I feel so anxious whenever I see an advertisement for a new fitness program?,Should Statements,en
"Every time I try to join a new team at work, something goes wrong.",Overgeneralization,en
My body hurts from tension all day long. It's like my muscles are screaming at me to change my life.,Emotional Reasoning,en
This pain in my stomach is killing me. It feels like a knife twisting inside. What if it's something serious?,Magnification and Catastrophizing,en
Why did it have to rain today of all days? Now the whole day is ruined and I'll be stuck inside feeling miserable.,Magnification and Catastrophizing,en
Why do I keep thinking about what could go wrong at the party tonight? Is it because I'm secretly worried about getting hurt or embarrassed?,Jumping to Conclusions,en
I keep thinking about what could go wrong on our upcoming road trip... it's going to be a nightmare.,Magnification and Catastrophizing,en
Sometimes I wonder if I'm just too much of a perfectionist and that's why every little thing seems like it could ruin everything.,Overgeneralization,en
"I've come to realize that every time I try something new, there's this underlying fear that I won't be able to keep up.",Overgeneralization,en
He didn't call me back after the date. He's probably just not interested in getting to know me at all.,Overgeneralization,en
"""That one negative review on our company's website keeps popping into my head and making me question our quality standards.""",Mental Filter,en
"""If I'm being honest, getting a B in math class isn't the end of the world. It just means putting in extra effort next time.",No Distortion,en
"Today was a day filled with small victories, but all I can focus on is what didn't quite meet my expectations.",Mental Filter,en
"""It's funny how often we expect everything to go smoothly. Sometimes it just doesn't, and that's okay.",No Distortion,en
My boss's criticism on my report was tough to take. Did they have some valid point about my analysis?,Personalization,en
"""I had a minor setback at work yesterday, but it didn't set me back entirely. We talked it over and found a solution.",No Distortion,en
The subway is delayed again. It's like the city is playing a cruel joke on me.,Overgeneralization,en
This heat is unbearable. What if it causes a power outage or something even worse?,Magnification and Catastrophizing,en
"I keep replaying the conversation with my ex and thinking, 'You should've spoken up sooner.'",Should Statements,en
"What's the point of even trying? If this project fails, my boss will lose trust in me and fire me for sure.",Magnification and Catastrophizing,en
"""The rain might have dampened my outdoor plans, but it also made for a cozy day indoors. Silver linings, right?",No Distortion,en
"""The weather today was a bit gloomy, but it didn't ruin my mood. I went for a walk anyway and enjoyed the fresh air.",No Distortion,en
I keep wondering why people are drawn to others more than I am. Is it something I'm doing wrong?,Emotional Reasoning,en
"This conversation about my future plans just made me feel so uncertain. Like, have I been living in a fantasy world or something?",Black & White Thinking,en
"I had that wonderful conversation with my sister last night, but now all I can remember is her concern about my stress levels.",Mental Filter,en
"""Getting sick is never fun, but it's not a catastrophe either. It's just an opportunity to rest and take care of myself.",No Distortion,en
"Sometimes I feel like I'm walking on eggshells around my colleagues, waiting for them to criticize me.",Jumping to Conclusions,en
"A friend once said, 'You're your own worst critic.' Maybe that's true and that's why I'm so stuck.",Emotional Reasoning,en
I feel like I'm just pretending to be competent at work. What if someone finds out and fires me?,Magnification and Catastrophizing,en
"After getting dumped, I started thinking about all the past relationships that ended in disaster. Maybe it's just a pattern of mine.",Overgeneralization,en
I've been having trouble sleeping since the incident with my neighbor. Every creak of the floorboard makes me jump.,Overgeneralization,en
"""Maybe this is just a sign that I'm not meant for college.""",Jumping to Conclusions,en
The smallest setback makes me feel like I'm drowning in a sea of incompetence. It's just one thing after another – no matter how hard I try.,Overgeneralization,en
I have these recurring nightmares where everything goes wrong because of something I did or didn't do. What does that say about my self-perception?,Personalization,en
"I get this awful feeling when someone disagrees with me, like I've failed on some fundamental level.",Emotional Reasoning,en
"It's my fault that the kids are misbehaving. If only I had set clearer boundaries, this wouldn't be happening.",Personalization,en
"Why do I feel like I'm stuck in neutral? Every time I try to shift gears, it's as if I'm driving into a brick wall.",Overgeneralization,en
"""I've been trying to cut back on sweets, but sometimes having one won't hurt. It's about balance, not deprivation.",No Distortion,en
I keep replaying that argument with my friend in my head. Why did I have to go and say those things? It's like I'm constantly reliving the pain.,Emotional Reasoning,en
"My mom is already pestering me to move back in after graduation. I don't want to live with her forever, but what would happen to my independence?",Magnification and Catastrophizing,en
"The weather forecast says there might be thunderstorms this weekend, we can't even go for a walk.",Magnification and Catastrophizing,en
"If I'm not constantly achieving, what's the point of even trying?",Black & White Thinking,en
Getting lost while traveling made me question my ability to navigate life's twists and turns.,Overgeneralization,en
"""Why did I let that one awkward silence between me and my date ruin the whole evening?""",Mental Filter,en
Being honest with myself about my performance in this area means acknowledging both the strengths and areas that need improvement.,No Distortion,en
Remembering the time I lost that argument makes me fume. Why can't they see things from my perspective?,Black & White Thinking,en
I'm such an idiot for messing up that presentation today.,Black & White Thinking,en
"I should've studied harder for this exam. Now I'll probably fail and have to retake it, wasting more of my precious time.",Magnification and Catastrophizing,en
This weather is getting more unpredictable every year... what's going to happen next?,Jumping to Conclusions,en
"I'll admit, there were times when this project seemed daunting. But breaking it down has helped me regain focus and momentum.",No Distortion,en
Her words cut deep: 'You're not responsible enough.',Should Statements,en
Why do I always put so much pressure on myself to be perfect?,Should Statements,en
Why do I keep thinking about all the things that could go wrong at work? Is it because I'm secretly worried about losing my job?,Jumping to Conclusions,en
"I feel like every mistake I make is a reflection on my character. Maybe if I was a better person, things would go more smoothly in life.",Overgeneralization,en
"His tone implied that I wasn't good enough for this job, but he never said it directly.",Should Statements,en
I was late to work today. Guess being responsible just isn't in my cards.,Overgeneralization,en
"In a situation where things didn't go as planned, I felt like I'd let everyone down. Maybe that's because it's true – I'm not capable of succeeding.",Emotional Reasoning,en
"I wish I could just wake up every morning feeling motivated and energized, without all these doubts creeping in.",Should Statements,en
Lost my job due to underperformance – it was only a matter of time before I got axed for being consistently subpar.,Overgeneralization,en
"A friend said they're proud of me for trying new things, but what does she really know about my inner struggles?",Emotional Reasoning,en
"Sometimes I feel like I'm the only one who cares about making this relationship work. It's all me, all the time.",Black & White Thinking,en
"""Every time I think about proposing to my partner, I'm reminded of how much less financially secure we'd be as a married couple.""",Mental Filter,en
'Why do you always have to be so dramatic?' my family asks me when I get upset. Maybe that's just a way of avoiding real conversations.,Emotional Reasoning,en
"'You should've done this differently,' I tell myself after every mistake. But what if that's just a recipe for self-blame?",Emotional Reasoning,en
The fact that Michael didn't mention my name in the team email could mean he's giving up on our project.,Jumping to Conclusions,en
"""When we moved into this new apartment, there were a few minor issues with the utilities. But we called the company and they fixed it promptly.",No Distortion,en
I feel like I'm stuck in this rut because I didn't take risks earlier.,Mental Filter,en
My friends started a new group without inviting me. Was it because I didn't contribute enough or were they just trying to exclude me?,Personalization,en
The setback I experienced at the competition is a reminder that everyone faces challenges; it's how we respond that counts.,No Distortion,en
'Why did I even think I could do this?' That's what my brain keeps screaming at me. It's like I've got some sort of cursed self-doubt gene.,Overgeneralization,en
"'You're never going to make it on your own,' my inner voice whispers. But why would it say that? Is it just trying to protect me from getting hurt?",Emotional Reasoning,en
I got into a fight with my mom and now she's barely speaking to me. It feels like our whole relationship is going downhill.,Overgeneralization,en
Every setback feels like a permanent scar on my resume.,Overgeneralization,en
Why do I always get so anxious when it's my turn to speak up in meetings? It feels like I'm being selfish if I express my opinion.,Should Statements,en
I'm trying not to get too caught up in the 'what ifs' of this situation; focusing on what I can control and learning from the experience.,No Distortion,en
"When I'm at the office, and people are whispering about something, I get this anxiety that they're talking about me.",Jumping to Conclusions,en
I've been noticing this weird sensation in my chest lately. What if it's some kind of heart condition? Should I go see the doctor now?,Magnification and Catastrophizing,en
I see people my age buying houses and starting families. Maybe that's not meant for me either.,Overgeneralization,en
Why do people always say 'you never know what might happen'? Is it because they're expecting something bad to occur?,Jumping to Conclusions,en
"""I'm so anxious about tomorrow's presentation, it must be because I have no idea what I'm doing.""",Emotional Reasoning,en
"Last week, I saw someone I used to know in passing, and they barely acknowledged me. Guess that means I'm not important to them anymore.",Jumping to Conclusions,en
"When people say 'you're doing great,' they must be lying – because deep down, I feel like a total mess.",Emotional Reasoning,en
"If only I had more time to organize my workspace, I'd be so much more productive.",Should Statements,en
"""We had to cancel the party due to unforeseen circumstances, but we'll plan another one soon. That's just how things go sometimes.",No Distortion,en
"After missing my train, I had to wait an hour for the next one. While it was frustrating at first, I used the time to read a book and arrived feeling more relaxed when I got off at my destination.",No Distortion,en
The guilt is suffocating me when I think about how I 'should' be spending more time with my family.,Should Statements,en
"When my car broke down, I started thinking that maybe I'm just not cut out for independent living and need someone else's help all the time.",Overgeneralization,en
The plants in my garden aren't growing well; perhaps I'm not giving them enough attention?,Personalization,en
Sometimes I feel like I'm stuck in this cycle of guilt and self-doubt. If only I had done things differently.,Black & White Thinking,en
"My friend Sarah hasn't replied to my text yet, and it's been hours. Does she even care about our conversation?",Jumping to Conclusions,en
Why did she have to say that? It sounds like she doesn't think I can do the task. Now I'm starting to doubt myself too.,Magnification and Catastrophizing,en
The way he was staring at me during that business meeting... I'm pretty sure he's plotting something against me.,Jumping to Conclusions,en
It's like I'm stuck in some kind of perpetual time loop – same old mistakes over and over again.,Black & White Thinking,en
Sometimes I imagine what would happen if we didn't have our current mortgage payment due soon. Would we be able to afford those groceries for the week? Or is that all my responsibility too?,Personalization,en
"After the breakup, every song on the radio became a painful reminder of what could have been – but never was.",Overgeneralization,en
"Why do I always feel like I have to justify my feelings to others? Maybe it's because deep down, I think they'll judge me for being weak or emotional.",Overgeneralization,en
Why do I always get this feeling of dread when I think about my relationships? It's like they're suffocating me.,Emotional Reasoning,en
"John kept glancing at his watch during dinner last night, making me feel like I'm holding him back.",Jumping to Conclusions,en
Why do I keep getting rejected on dating apps? Maybe it's just that I'm not good enough for anyone.,Overgeneralization,en
"Every time I try to learn something new, I feel this suffocating sense of inadequacy. Like, no matter what I do, it's just not going to stick.",Overgeneralization,en
"I've been trying to fix my relationship with my ex for months, but it just keeps falling apart. What am I doing wrong?",Black & White Thinking,en
The tension in the air was palpable when our client raised concerns about our services. It felt like something big was brewing.,Jumping to Conclusions,en
"In retrospect, that party last weekend wasn't so great after all. Maybe we should've left earlier or not gone at all – but who knows what would've happened if we had?",No Distortion,en
"I keep thinking that if I don't get A's in this semester, my future prospects will suffer.",Should Statements,en
"When my partner forgets our plans, it makes me think they're not invested in making us happy together.",Overgeneralization,en
"Every time I look at this painting on the wall, I feel like it's mocking me - those bold colors make me anxious.",Mental Filter,en
What if I accidentally spill something on my new white shirt? It's ruined for life.,Magnification and Catastrophizing,en
There's a storm outside and it makes me wonder if I made a mistake by planning this weekend getaway.,Personalization,en
"When I'm at home, and there's a faint noise coming from upstairs, I get this anxiety that someone is in my house.",Jumping to Conclusions,en
"""Some days, everything just feels too much – the noise, the people, the expectations. Is that just how life is supposed to be?""",Emotional Reasoning,en
"When I see people glancing at their watches, it makes me think they're waiting for an excuse to leave.",Jumping to Conclusions,en
I feel anxious every time I walk past the construction site on my way home. What if there's a collapse?,Jumping to Conclusions,en
Every small disappointment feels like a crushing blow to my self-worth.,Magnification and Catastrophizing,en
I was talking to Sarah the other day and she mentioned her sister got into trouble with her boss. Now I'm worried I'll get in trouble too.,Jumping to Conclusions,en
I shouldn't have let things get this far before speaking up for myself.,Should Statements,en
Remembering the time I accidentally broke a dish at grandma's house makes me cringe now. Why did I have to be so careless?,Black & White Thinking,en
I've had it up to here with this job! Can't they see how miserable it makes me?,Black & White Thinking,en
"Every time we have a disagreement at home, I feel like it's because of something I did. Am I truly the one who causes all the conflict?",Personalization,en
Every little pain in my body feels like a sign that I'm coming down with something serious.,Magnification and Catastrophizing,en
What if my boss thinks I'm not doing enough? What if this performance review isn't going well?,Jumping to Conclusions,en
"'You're so uptight,' someone said about me once. But is that really true, or was it just a projection of their own stress?",Emotional Reasoning,en
"Today was the fifth time this week I forgot to send an email, and my boss is going to kill me for it.",Should Statements,en
"I keep thinking about that one embarrassing moment from high school, it still haunts me.",Magnification and Catastrophizing,en
"I've been thinking about my relationship with Sarah, and I just can't shake the feeling that something's off. Every time we're together, I feel this knot in my stomach, like I'm waiting for the other shoe to drop. It's hard to explain, but I think deep down, I genuinely believe she doesn't really care about me.",Emotional Reasoning,en
"Every time we disagree with our parents, they get upset and it ends badly.",Overgeneralization,en
"The fact that my art piece didn't get selected for the exhibition makes me feel like I'm not talented enough. Like, what even is my place in all of this?",Black & White Thinking,en
"""That meeting at work was a disaster, and I'm such a bad employee.""",Emotional Reasoning,en
Sometimes I wonder what would happen if we moved to a different neighborhood. Would the kids make friends faster? Or is it something about me that makes them shy away?,Personalization,en
"Every time I go on a date, something goes wrong. The conversation stalls or they cancel last minute. It's like I'm cursed.",Black & White Thinking,en
I've been overthinking this conversation with my boss for hours. What was it about what I said that made him raise an eyebrow like that? Is it possible he thinks I'm incompetent?,Jumping to Conclusions,en
Sometimes I wish life wasn't so full of gray areas - everything is either fantastic or utterly terrible.,Mental Filter,en
I keep thinking about what went wrong during the last presentation - was it something I did?,Jumping to Conclusions,en
"""If they don't like my ideas, it means I'm not smart enough.""",Overgeneralization,en
"If only I'd been more patient with the kids, they wouldn't be acting out like this.",Personalization,en
"When my mom was sick, it felt like everything was falling apart. But looking back, we managed to pull through with the help of family and friends.",No Distortion,en
"""Every conversation with my sibling ends with me fixating on one thing they said that hurt my feelings.""",Mental Filter,en
"I swear, every time I see a car with a similar make and model as mine parked in the lot, it's going to be my neighbor, judging me for taking up two spaces.",Jumping to Conclusions,en
I was reading a news article about a company that went bankrupt and now I'm worried my own business will fail.,Jumping to Conclusions,en
Why do I always feel guilty for taking time off when I need it?,Should Statements,en
I love how my partner supports me in everything I do. It's a good thing we have each other's backs.,Jumping to Conclusions,en
"We've been trying to have kids for years now, but nothing seems to work. It's like we're just waiting for disaster.",Black & White Thinking,en
Why does every interaction with an authority figure make me feel like a child being lectured?,Overgeneralization,en
"After getting into a fight with my sibling, I realized we have fundamentally different values. It feels like no matter how hard we try, we'll never see eye-to-eye.",Overgeneralization,en
"""Sometimes getting what you want isn't all it's cracked up to be. Like when I got that one gift last year – it was nice, but not exactly what I'd chosen.",No Distortion,en
I've tried so many times – failed every time. Guess that means I'm just not cut out for this.,Black & White Thinking,en
"Whenever someone cancels plans last minute, I think about all the times I've done that to them. Maybe they're just avoiding me because of past actions.",Personalization,en
I've been practicing guitar for months and still can't play a single song properly. What's wrong with me?,Black & White Thinking,en
Sometimes I wonder if I'm just too sensitive to criticism and that's why everyone around me seems to be walking on eggshells around me.,Overgeneralization,en
What's the point of even having goals if you're just going to fail anyway?,Black & White Thinking,en
I'm starting to feel like I'm walking on eggshells around her.,Jumping to Conclusions,en
"When my boss talked to me yesterday, I felt a wave of guilt. Am I really at fault here?",Personalization,en
"The new employee seems nice, but they're already causing problems on the team. It's only going to get worse from here.",Black & White Thinking,en
"In our team's discussions about growth areas, we should aim to acknowledge progress without letting past mistakes define us.",No Distortion,en
"The rain poured down on our date, ruining everything. Maybe if I'd chosen a different day, it would have been fine.",Personalization,en
"I'm starting to think that every moment, no matter how insignificant, becomes tainted by some negative thought or fear.",Mental Filter,en
What if I forget my password and get locked out of my account? It'll take forever to recover.,Magnification and Catastrophizing,en
"I've been reflecting on my childhood, and now the few instances where I felt like an outcast are replaying in my head.",Mental Filter,en
The fact that our team lead hasn't mentioned a plan for our quarterly review has me worried we're in trouble.,Jumping to Conclusions,en
"""I feel like a failure, and that means I am one.""",Emotional Reasoning,en
"I keep getting these nagging thoughts about not being good enough for my family. They're always pushing me to do more, and it feels like they expect perfection from me. Ugh, why can't they just accept me as I am?",Emotional Reasoning,en
The anxiety is almost paralyzing when I think about all the 'what-ifs' in life.,Should Statements,en
"'You're so sensitive,' people say to me when I get upset. But isn't that just code for 'you're too emotional'?",Emotional Reasoning,en
The news cycle is just so overwhelming. It's hard to believe we'll ever be able to trust anyone in power again.,Overgeneralization,en
"When people start avoiding eye contact with me, it makes me wonder if they're hiding something or gossiping behind my back.",Jumping to Conclusions,en
I don't know what it is about me that attracts trouble.,Overgeneralization,en
"Every time I step into the classroom, I feel like a failure. Maybe that means I'm just not cut out for teaching.",Emotional Reasoning,en
"When my partner forgets our anniversary, it makes me think they don't value our relationship as much as I do.",Overgeneralization,en
"Ugh, I just got a parking ticket. This is going to cost me so much money and stress me out even more.",Magnification and Catastrophizing,en
Why do I keep pushing away people who care about me? Is it because I'm scared of being hurt again?,Overgeneralization,en
I've been putting off that phone call with my ex... but what if it's even worse than I expect?,Magnification and Catastrophizing,en
"I feel like every little thing is a reflection of how good or bad I am as a person. Maybe if I was more confident, things would go more smoothly in life.",Overgeneralization,en
"It's weird – sometimes I'll be talking to someone, and they'll mention something from years ago like it was yesterday. Memory is a funny thing.",No Distortion,en
"If I don't get into grad school, my life is over. All my friends are going, and I'll be stuck working some mediocre job.",Magnification and Catastrophizing,en
"My friends say they love me, but their behavior suggests otherwise – perhaps because I'm not 'good enough' in some way.",Personalization,en
What if every positive experience is just a setup for an even bigger disappointment?,Mental Filter,en
What if I had chosen a different path? Would my life be better now?,Mental Filter,en
The way she looks at me when we're working on a project together... it's like she's judging me for not knowing what I'm doing.,Jumping to Conclusions,en
"If only I had studied harder, I wouldn't be stuck in this dead-end job.",Should Statements,en
"Why do I always feel like I'm being judged by others, even when no one says anything?",Should Statements,en
"""That one bad decision I made years ago still haunts me today. It's proof that I'm not responsible enough to take care of myself.""",Emotional Reasoning,en
"Every time I look at this painting, I'm reminded of how far it falls short of what I envisioned.",Mental Filter,en
"I remember my mom saying, 'You'll never amount to anything if you don't get a good job out of college.' It's like she's still haunting me, whispering those words in my ear.",Jumping to Conclusions,en
This morning's argument with my mom has left me feeling defeated all day. Why can't she just understand me?,Black & White Thinking,en
"Sometimes, when people don't call back right away, it feels like they've abandoned us. Is that always the case?",Jumping to Conclusions,en
"When I look back on past experiences, I'm reminded of how resilient and resourceful I am – even in the face of adversity.",No Distortion,en
"When my teacher gave us a project with a tight deadline, it felt like an impossible task. Maybe that was intentional, to push us too hard.",Jumping to Conclusions,en
"Stuck on that one comment my coworker made at the meeting, can't shake the feeling it was a personal attack.",Mental Filter,en
"We didn't get the grant we applied for. It was a disappointment, but my colleague pointed out that we can always resubmit next year or try other funding sources.",No Distortion,en
Her constant criticism is wearing me down. It feels like she's constantly judging me.,Should Statements,en
"Why do I keep making the same mistakes over and over again? Maybe it's because deep down, I know I'm not learning from my experiences.",Overgeneralization,en
"Just got back from a meeting with my manager, and I couldn't help but notice how dismissive he was towards my ideas. To be honest, it really hurt my feelings. I feel like I've been trying so hard to contribute to this team, but no one seems to appreciate me for it.",Emotional Reasoning,en
I keep thinking about that one time when I let someone down. Why can't I just shake off the feeling of guilt and move on?,Emotional Reasoning,en
"""I'm definitely going to fail this project if I don't get the feedback from my team by tomorrow.""",Jumping to Conclusions,en
"""When things don't go as planned, I remind myself that it's not always about being perfect. It's about learning from mistakes.",No Distortion,en
Why do I feel this sense of foreboding when working on new tasks? It feels like something is bound to go wrong.,Jumping to Conclusions,en
Every social interaction feels draining; maybe it's because I'm just too sensitive.,Overgeneralization,en
I had a dream last night that I failed my exam and it's still bothering me. What if it's a sign of things to come?,Jumping to Conclusions,en
"Today I had an incredible experience with my new client - they're really enthusiastic about our collaboration - and yet, I keep thinking about the one thing that didn't quite align.",Mental Filter,en
"The way they looked at each other during the meeting... I'm sure it was a secret they were sharing, but not about work.",Jumping to Conclusions,en
Today was just another day of setbacks and disappointments. I'm starting to lose hope.,Black & White Thinking,en
"""It's not like you failed or anything,"" my sister said when I told her about my audition for the school play. ""You just didn't get the part."" She was right; it's not a reflection of my worth or abilities.",No Distortion,en
"Why do I keep comparing myself to others? Maybe it's because deep down, I know I'm not measuring up.",Overgeneralization,en
"If only we had chosen a different restaurant for our anniversary, maybe it wouldn't have ended in such an argument.",Personalization,en
"My anxiety's running wild, making me feel suffocated by the thought of making another mistake that will set back all my progress.",Overgeneralization,en
I've been struggling with this one project at work and it's like every mistake I make is a reminder of all the things that could go wrong.,Overgeneralization,en
"His criticism stung because it felt like he was saying I wasn't good enough, even though that's not what he said exactly.",Should Statements,en
"My phone keeps autocorrecting words, it's like my brain is malfunctioning too.",Overgeneralization,en
I keep thinking about all the things I need to do differently if I want to succeed in this business.,Should Statements,en
"""That one person who hurt me in the past is still hurting me today. It must be because they're toxic and I'm weak.""",Emotional Reasoning,en
"I'm freaking out about this upcoming project deadline. If I don't meet it, my boss will think I'm incompetent and fire me on the spot.",Magnification and Catastrophizing,en
I feel anxious whenever my partner doesn't initiate conversations with me – does it mean they're unhappy with our relationship?,Personalization,en
"Ugh, I just got a parking ticket. This is all I need, another expense to worry about.",Magnification and Catastrophizing,en
"If I don't get that promotion, my life will be ruined.",Black & White Thinking,en
"I'm not looking forward to the holiday party this year, too many awkward conversations ahead.",Magnification and Catastrophizing,en
"When things get tough at work, I try to take a step back and look at the bigger picture – what are the long-term goals here? Maybe it's not as dire as it seems right now.",No Distortion,en
"I feel like my body is trying to send me signals about my emotional state, but I'm not sure how to decode them.",Emotional Reasoning,en
I've been having these awful dreams lately where everything falls apart. What does that even mean?,Overgeneralization,en
I just can't seem to catch a break. Everything falls apart when I get involved.,Black & White Thinking,en
"My grandma used to say, 'If you don't learn from your mistakes, you'll repeat them.' It sounds like a warning sign, but what does she know?",Jumping to Conclusions,en
What if this single misstep has major repercussions on our team's project?,Mental Filter,en
"I wish someone could explain why some people are so critical all the time. Like, can't we just have constructive feedback without it being a personal attack?",Black & White Thinking,en
I'm so anxious about this upcoming exam. What if I don't pass and it affects my GPA? My parents will kill me.,Magnification and Catastrophizing,en
"Every time there's a misunderstanding between friends or family members, I think about all the times I've misinterpreted what others said to me.",Personalization,en
Why do I always feel like I have to justify my choices to others?,Should Statements,en
I'm so exhausted from trying to fix things that go wrong around here.,Overgeneralization,en
"I just spent an hour perfecting this dish for dinner, and now the kids have spilled sauce all over the tablecloth.",Black & White Thinking,en
"We had a disagreement with our landlord over maintenance issues. It's not ideal, but we're trying to find a resolution that works for everyone involved.",No Distortion,en
My favorite restaurant closed down. Now what am I supposed to do for dinner? It's all just one disappointment after another.,Magnification and Catastrophizing,en
"I've been trying to eat healthier, but everything tastes bland without sugar. Is this really worth it?",Magnification and Catastrophizing,en
Why do I keep replaying those past mistakes in my head? Maybe that's just proof of how much I've failed myself.,Emotional Reasoning,en
"I'm still thinking about the feedback from my last performance review. While some of it was constructive criticism, other parts made me feel like I'm doing okay – just need to work on a few areas.",No Distortion,en
"The first time someone called in sick to work without warning, I thought that must be what always happens around here.",Overgeneralization,en
The worst part is when people ask me about my goals and I feel like I have to put on a mask and pretend everything is fine.,Should Statements,en
"'You're not doing enough,' I tell myself after every minor accomplishment. But what if that's just an excuse for being unfulfilled?",Emotional Reasoning,en
"Every time we go out as a family, something goes wrong. Maybe it's because I'm not a good planner.",Personalization,en
Every minor delay feels like a sign that something is fundamentally wrong with me.,Magnification and Catastrophizing,en
"Sometimes, when I'm around people who love and support me, I feel like I'm hiding behind a mask of confidence. Maybe it's time to drop the act.",Emotional Reasoning,en
"Today's confrontation taught me that even in disagreements, there's always room for empathy and understanding.",No Distortion,en
I've been practicing guitar for months and still can't play a single song correctly. What's the use?,Black & White Thinking,en
The worst part is when people ask me about my goals and I feel like I have to pretend everything is fine.,Should Statements,en
"""I've been trying to write more regularly, but some days the words just don't come easily. That's okay; I'll keep practicing.",No Distortion,en
The way she laughed at my joke last week... I think it was just polite humor. She doesn't really find me funny.,Jumping to Conclusions,en
"""The uncertainty of my future is suffocating. It must be because I'm not good enough.""",Emotional Reasoning,en
"I've been having trouble with self-compassion and now I'm worried that if I don't get it together, everyone around me will suffer too.",Overgeneralization,en
Why do we have to dwell so much on the past when we could be focusing on creating a better future?,Mental Filter,en
"When our team didn't meet its sales targets, I felt responsible for not pushing harder on those difficult clients.",Personalization,en
"Every time I try to make a new friend, it feels like they're just going through the motions until they find someone 'better'.",Black & White Thinking,en
"My boss is constantly micromanaging, which makes me feel like I'm not trusted with important tasks or decisions.",Overgeneralization,en
"What's the point of even trying? Nothing ever changes, no matter what I do.",Black & White Thinking,en
"""I just know I'll mess up this presentation."" What if I don't though? What if I actually nail it?",Jumping to Conclusions,en
I overheard them whispering yesterday. I bet they're talking about me and how I messed things up.,Personalization,en
This project is doomed from the start. Mark my words.,Black & White Thinking,en
This traffic is getting worse every day - it's just a sign of the world falling apart.,Jumping to Conclusions,en
"'You're not living up to your true potential,' I tell myself after every minor accomplishment. But what if that's just a recipe for self-doubt?",Emotional Reasoning,en
"It's like I'm stuck in quicksand – no matter what I try, I just sink deeper.",Black & White Thinking,en
The recent conflict between us escalated quickly. Maybe it was because I didn't handle things carefully enough from the start?,Personalization,en
"He said he's busy this weekend, so I guess our plans are cancelled for good.",Black & White Thinking,en
"When I think about the past, I feel a wave of guilt wash over me. That must mean I did something wrong.",Emotional Reasoning,en
I feel like I'm constantly stuck between two opposing thoughts: 'I should have spoken up' vs. 'It's not a big deal'.,Mental Filter,en
"I often think about how much time we spend arguing as a family – perhaps if I were more patient, we wouldn't fight so much.",Personalization,en
"""I've been feeling so lost lately, like I'm wandering through life without a map. Maybe that's just how it is when you're in your mid-twenties.""",Emotional Reasoning,en
